Player,Player_Id,Nation,Pos,Age,Born,Squad,Comp,Gls,Gls_rank,Gls_norm,Ast,Ast_rank,Ast_norm,xG,xG_rank,xG_norm,npxG,npxG_rank,npxG_norm,xAG,xAG_rank,xAG_norm,PrgC,PrgC_rank,PrgC_norm,PrgP,PrgP_rank,PrgP_norm,Sh,Sh_rank,Sh_norm,Sh/90,Sh/90_rank,Sh/90_norm,SoT,SoT_rank,SoT_norm,SoT/90,SoT/90_rank,SoT/90_norm,G/Sh,G/Sh_rank,G/Sh_norm,KP,KP_rank,KP_norm,PPA,PPA_rank,PPA_norm,Tkl,Tkl_rank,Tkl_norm,Tkl%,Tkl%_rank,Tkl%_norm,Int,Int_rank,Int_norm,SCA,SCA_rank,SCA_norm,SCA90,SCA90_rank,SCA90_norm,Carries,Carries_rank,Carries_norm,PrgDist_stats_possession,PrgDist_stats_possession_rank,PrgDist_stats_possession_norm,Recov,Recov_rank,Recov_norm,total_minutes,total_minutes_rank,total_minutes_norm,image_url,sub_position,market_value
Aaron Cresswell,92571,England,DF,34,1989,West Ham,GB1,0,1231,0,0,1207,0,0.2,1651,0.007380074,0.2,1648,0.008333333,1.3,818,0.091549296,6,1569,0.028169014,36,1216,0.099447514,5,1514,0.032894737,0.55,1430,0.024444444,0,1706,0,0,1693,0,0,1194,0,9,1074,0.094736842,5,1240,0.045045045,11,1459,0.089430894,81.8,114,0.818,8,1092,0.1111111111111111,15,1382,0.074257426,1.64,1237,0.013145175,291,1423,0.1213005418924551,526,1582,0.0717012,36,1409,0.1417322834645669,586,1588,0.2100358422939068,https://img.a.transfermarkt.technology/portrait/header/92571-1700670925.jpg?lm=1,Left-Back,700000
Aaron Ramsdale,427568,England,GK,26,1998,Southampton,GB1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,1,1707,0.009009009,0,2029,0,0,1948,0,2,1621,0.027777778,3,1917,0.014851485,0.1,2061,0.000801535,786,462,0.3276365152146728,2349,353,0.3202017448200654,23,1669,0.090551181,2070,370,0.7419354838709677,https://img.a.transfermarkt.technology/portrait/header/427568-1681828000.jpg?lm=1,Goalkeeper,16000000
Aaron Wan-Bissaka,477758,England,DF,26,1997,West Ham,GB1,2,564,0.064516129,5,136,0.2777777777777778,1.2,948,0.044280443,1.2,930,0.05,3.5,262,0.2464788732394366,110,49,0.5164319248826291,149,109,0.4116022099447514,16,879,0.1052631578947368,0.46,1538,0.020444444,5,790,0.066666667,0.14,1359,0.006277771,0.13,470,0.13,33,230,0.3473684210526316,35,146,0.3153153153153153,70,70,0.5691056910569106,71.9,251,0.7190000000000001,66,4,0.9166666666666666,93,127,0.4603960396039604,2.65,656,0.021240679,1092,154,0.4551896623593164,3661,82,0.4990458015267175,174,38,0.6850393700787402,2615,41,0.9372759856630823,https://img.a.transfermarkt.technology/portrait/header/477758-1617030255.jpg?lm=1,Right-Back,22000000
Aarón Martín,251878,Spain,DF,27,1997,Genoa,IT1,0,1231,0,8,30,0.4444444444444444,0.9,1100,0.033210332,0.9,1084,0.0375,5.5,86,0.3873239436619718,50,332,0.2347417840375587,90,475,0.2486187845303867,16,879,0.1052631578947368,0.47,1523,0.020888889,4,919,0.053333333,0.12,1418,0.005380947,0,1194,0,65,20,0.6842105263157895,30,216,0.2702702702702703,71,61,0.5772357723577236,64.7,467,0.647,19,511,0.2638888888888889,95,121,0.4702970297029702,2.77,610,0.022202521,878,339,0.365985827,2293,379,0.3125681570338059,146,112,0.5748031496062992,2539,73,0.9100358422939068,https://img.a.transfermarkt.technology/portrait/header/251878-1730126148.jpg?lm=1,Left-Back,6500000
Abakar Sylla,962555,Cote d'Ivoire,DF,21,2002,Strasbourg,FR1,1,812,0.032258065,0,1207,0,0.4,1458,0.014760148,0.4,1452,0.016666667,0.1,1698,0.007042254,0,1949,0,21,1488,0.05801105,5,1514,0.032894737,0.47,1523,0.020888889,1,1464,0.013333333,0.09,1539,0.00403571,0.2,180,0.2,1,1806,0.010526316,1,1707,0.009009009,27,832,0.2195121951219512,88.2,93,0.882,11,901,0.1527777777777778,4,1854,0.01980198,0.38,1918,0.003045833,425,1120,0.177157149,618,1475,0.084242094,39,1361,0.1535433070866141,918,1282,0.3290322580645161,https://img.a.transfermarkt.technology/portrait/header/962555-1732575720.png?lm=1,Centre-Back,12000000
Abdallah Sima,776798,Senegal,"FW,MF",23,2001,Brest,FR1,7,162,0.2258064516129032,2,465,0.1111111111111111,5.9,192,0.2177121771217712,5.9,169,0.2458333333333333,1,988,0.070422535,36,524,0.1690140845070422,24,1429,0.066298343,37,318,0.2434210526315789,2.69,213,0.1195555555555555,18,177,0.24,1.31,92,0.058742,0.19,222,0.19,13,847,0.1368421052631579,6,1147,0.054054054,15,1284,0.1219512195121951,36.4,1611,0.364,1,1767,0.013888889,28,982,0.1386138613861386,2.04,990,0.016351315,299,1395,0.1246352646936223,711,1390,0.096919302,61,964,0.2401574803149606,976,1236,0.3498207885304659,https://img.a.transfermarkt.technology/portrait/header/776798-1672669896.jpg?lm=1,Left Winger,10000000
Abde Ezzalzouli,724520,Morocco,"FW,MF",22,2001,Betis,ES1,2,564,0.064516129,2,465,0.1111111111111111,8,117,0.2952029520295203,7.2,115,0.3,2,555,0.1408450704225352,117,37,0.5492957746478874,68,712,0.1878453038674033,61,95,0.4013157894736842,2.7700000000000005,198,0.1231111111111111,25,84,0.3333333333333333,1.13,155,0.05067058,0.03,1164,0.03,27,334,0.2842105263157894,19,453,0.1711711711711711,37,547,0.3008130081300813,55.6,834,0.556,7,1162,0.097222222,66,291,0.3267326732673267,2.99,523,0.023965898,706,587,0.2942892872030012,3025,184,0.412350055,102,426,0.4015748031496063,1624,728,0.582078853,https://img.a.transfermarkt.technology/portrait/header/724520-1636969902.jpg?lm=1,Left Winger,12000000
Abdel Abqar,559979,Morocco,DF,25,1999,Alavés,ES1,0,1231,0,1,742,0.055555556,0.9,1100,0.033210332,0.9,1084,0.0375,0.3,1493,0.021126761,16,1102,0.075117371,79,580,0.218232044,12,1065,0.078947368,0.44,1573,0.019555556,1,1464,0.013333333,0.04,1654,0.001793649,0,1194,0,8,1137,0.084210526,10,852,0.09009009,36,572,0.2926829268292683,58.8,703,0.588,39,84,0.5416666666666666,25,1067,0.1237623762376237,0.91,1666,0.007293969,632,689,0.2634431012922051,2013,502,0.2744002181025082,87,596,0.3425196850393701,2391,141,0.8569892473118279,https://img.a.transfermarkt.technology/portrait/header/559979-1705337125.jpg?lm=1,Centre-Back,7500000
Abdou Harroui,416386,Morocco,"MF,FW",26,1998,Hellas Verona,IT1,1,812,0.032258065,2,465,0.1111111111111111,2.2,626,0.081180812,2.2,596,0.091666667,0.4,1415,0.028169014,23,840,0.107981221,21,1488,0.05801105,15,922,0.098684211,2.92,163,0.1297777777777777,4,919,0.053333333,0.78,391,0.034976153,0.07,908,0.07,4,1466,0.042105263,3,1449,0.027027027,9,1553,0.073170732,100,1,1,2,1621,0.027777778,15,1382,0.074257426,2.92,549,0.023404824,175,1701,0.072947061,631,1459,0.086014177,22,1677,0.086614173,462,1693,0.1655913978494623,https://img.a.transfermarkt.technology/portrait/header/416386-1730186775.jpg?lm=1,Central Midfield,2000000
Abdoul Koné,1130445,France,DF,19,2005,Reims,FR1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,3,1913,0.008287293,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,5,1746,0.040650407,60,629,0.6,1,1767,0.013888889,1,2021,0.004950495,0.68,1788,0.005450438,39,2084,0.016256774,25,2158,0.003407852,7,2002,0.027559055,119,2035,0.04265233,https://img.a.transfermarkt.technology/portrait/header/1130445-1723838146.png?lm=1,Centre-Back,500000
Abdoulaye Bamba,62351,Cote d'Ivoire,DF,34,1990,Angers,FR1,0,1231,0,0,1207,0,0.1,1756,0.003690037,0.1,1755,0.004166667,0.3,1493,0.021126761,1,1870,0.004694836,16,1602,0.044198895,1,1845,0.006578947,0.06,1917,0.002666667,0,1706,0,0,1693,0,0,1194,0,6,1297,0.063157895,4,1337,0.036036036,22,1014,0.1788617886178861,73.7,221,0.737,19,511,0.2638888888888889,10,1580,0.04950495,0.6,1824,0.00480921,408,1146,0.1700708628595248,641,1451,0.087377317,47,1200,0.1850393700787401,1241,1024,0.4448028673835125,https://img.a.transfermarkt.technology/portrait/header/62351-1588852339.jpg?lm=1,Centre-Back,350000
Abdoulaye Doucouré,127187,Mali,MF,31,1993,Everton,GB1,3,403,0.096774194,2,465,0.1111111111111111,4.1,320,0.1512915129151291,4.1,283,0.1708333333333333,2.4,457,0.1690140845070422,42,427,0.1971830985915492,82,553,0.2265193370165746,31,407,0.2039473684210526,1.09,933,0.048444444,9,459,0.12,0.32,902,0.014349191,0.1,675,0.1,28,306,0.2947368421052631,15,582,0.1351351351351351,48,312,0.3902439024390244,32.6,1736,0.326,10,955,0.1388888888888889,58,381,0.2871287128712871,2.04,990,0.016351315,604,745,0.251771571,1396,851,0.1902944383860414,150,102,0.5905511811023622,2167,295,0.7767025089605735,https://img.a.transfermarkt.technology/portrait/header/127187-1687966805.jpg?lm=1,Central Midfield,8000000
Abdoulaye Touré,181382,Guinea,MF,30,1994,Le Havre,FR1,10,78,0.3225806451612903,1,742,0.055555556,9.4,85,0.3468634686346863,2.2,596,0.091666667,0.4,1415,0.028169014,17,1055,0.079812207,109,315,0.3011049723756906,38,305,0.25,1.47,724,0.065333333,6,696,0.08,0.23,1089,0.010313481,0.05,1062,0.05,7,1212,0.073684211,10,852,0.09009009,61,130,0.4959349593495935,55.9,829,0.5589999999999999,34,127,0.4722222222222222,49,529,0.2425742574257425,1.9,1065,0.015229166,714,576,0.2976240100041684,1521,772,0.2073336968375136,160,69,0.6299212598425197,1791,594,0.6419354838709678,https://img.a.transfermarkt.technology/portrait/header/181382-1485420758.jpg?lm=1,Defensive Midfield,3000000
Abdoulie Ceesay,1280281,The Gambia,FW,20,2004,St. Pauli,DE1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,1,1806,0.010526316,0,1887,0,3,1841,0.024390244,66.7,349,0.667,0,1925,0,1,2021,0.004950495,1.48,1338,0.011862719,12,2161,0.005002084,3,2211,0.000408942,4,2068,0.015748031,54,2109,0.019354839,https://img.a.transfermarkt.technology/portrait/header/1280281-1732527438.jpg?lm=1,Centre-Forward,500000
Abdukodir Khusanov,763079,Uzbekistan,DF,20,2004,Manchester City,GB1,0,1231,0,0,1207,0,0.2,1651,0.007380074,0.2,1648,0.008333333,0.4,1415,0.028169014,3,1728,0.014084507,68,712,0.1878453038674033,7,1379,0.046052632,0.18,1864,0.008,4,919,0.053333333,0,1693,0,0,1194,0,4,1466,0.042105263,4,1337,0.036036036,20,1093,0.1626016260162601,66.7,349,0.667,29,221,0.4027777777777778,16,1334,0.079207921,0.89,1678,0.007133662,613,728,0.2555231346394331,1077,1096,0.1468102508178844,77,707,0.3031496062992126,1479,834,0.5301075268817205,https://img.a.transfermarkt.technology/portrait/header/763079-1740493347.jpg?lm=1,Centre-Back,35000000
Abdul Mumin,451801,Ghana,DF,26,1998,Rayo Vallecano,ES1,2,564,0.064516129,1,742,0.055555556,0.6,1304,0.022140221,0.6,1293,0.025,0.2,1580,0.014084507,12,1277,0.056338028,40,1143,0.1104972375690607,10,1186,0.065789474,0.45,1558,0.02,3,1078,0.04,0.13,1381,0.005829359,0.2,180,0.2,1,1806,0.010526316,1,1707,0.009009009,37,547,0.3008130081300813,63,528,0.63,23,376,0.3194444444444444,11,1544,0.054455446,0.49,1880,0.003927522,725,560,0.3022092538557732,1525,768,0.2078789531079607,93,513,0.3661417322834646,2020,419,0.7240143369175627,https://img.a.transfermarkt.technology/portrait/header/451801-1631003939.jpg?lm=1,Centre-Back,5000000
Abdón Prats,177452,Spain,"FW,MF",31,1992,Mallorca,ES1,2,564,0.064516129,0,1207,0,2.2,626,0.081180812,1.5,805,0.0625,0.1,1698,0.007042254,0,1949,0,7,1812,0.019337017,13,1014,0.085526316,2.57,248,0.1142222222222222,4,919,0.053333333,0.79,382,0.035424565,0.08,824,0.08,3,1550,0.031578947,1,1707,0.009009009,2,1888,0.016260163,50,1019,0.5,1,1767,0.013888889,7,1712,0.034653465,1.39,1396,0.011141337,77,1981,0.032096707,41,2132,0.005588877,13,1862,0.051181102,359,1788,0.128673835,https://img.a.transfermarkt.technology/portrait/header/177452-1696950061.jpg?lm=1,Centre-Forward,1500000
Abel,658115,Spain,DF,23,2000,Osasuna,ES1,2,564,0.064516129,0,1207,0,0.5,1383,0.018450185,0.5,1376,0.020833333,1,988,0.070422535,50,332,0.2347417840375587,77,604,0.212707182,12,1065,0.078947368,0.52,1452,0.023111111,4,919,0.053333333,0.17,1258,0.007623008,0.17,283,0.17,16,694,0.1684210526315789,18,488,0.1621621621621621,61,130,0.4959349593495935,61.9,572,0.619,18,553,0.25,39,701,0.193069307,1.69,1197,0.013545943,605,739,0.2521884118382659,1792,613,0.2442748091603053,106,386,0.4173228346456692,1683,677,0.603225806,https://img.a.transfermarkt.technology/portrait/header/658115-1690301272.jpg?lm=1,Left-Back,3000000
Abel Ruiz,340376,Spain,FW,24,2000,Girona,ES1,4,310,0.1290322580645161,0,1207,0,4.6,278,0.1697416974169741,3,419,0.125,0.5,1344,0.035211268,21,907,0.098591549,23,1446,0.063535912,21,680,0.1381578947368421,1.4,752,0.062222222,7,605,0.093333333,0.47,709,0.021075374,0.14,391,0.14,8,1137,0.084210526,5,1240,0.045045045,6,1700,0.048780488,40,1491,0.4,5,1329,0.069444444,17,1304,0.084158416,1.14,1542,0.0091375,225,1581,0.093789079,413,1683,0.05629771,21,1688,0.082677165,1178,1073,0.4222222222222222,https://img.a.transfermarkt.technology/portrait/header/340376-1694617385.jpg?lm=1,Centre-Forward,6000000
Abner,646402,Brazil,DF,24,2000,Lyon,FR1,1,812,0.032258065,1,742,0.055555556,0.6,1304,0.022140221,0.6,1293,0.025,1.1,916,0.077464789,31,621,0.1455399061032863,66,733,0.1823204419889502,7,1379,0.046052632,0.5800000000000001,1395,0.025777778,3,1078,0.04,0.25,1043,0.011210305,0.14,391,0.14,11,953,0.1157894736842105,11,790,0.099099099,29,777,0.2357723577235772,65.6,444,0.6559999999999999,5,1329,0.069444444,25,1067,0.1237623762376237,2.06,979,0.016511622,426,1117,0.1775739891621509,1239,959,0.1688931297709923,45,1237,0.1771653543307086,906,1295,0.3247311827956989,https://img.a.transfermarkt.technology/portrait/header/646402-1727464001.jpg?lm=1,Left-Back,9000000
Achraf Hakimi,398073,Morocco,DF,25,1998,Paris S-G,FR1,4,310,0.1290322580645161,6,85,0.3333333333333333,2.9,470,0.1070110701107011,2.9,437,0.1208333333333333,6.2,62,0.4366197183098592,93,92,0.4366197183098591,183,50,0.505524862,32,390,0.2105263157894736,1.39,758,0.061777778,12,334,0.16,0.52,641,0.023317435,0.13,470,0.13,50,78,0.5263157894736842,37,129,0.3333333333333333,48,312,0.3902439024390244,49.1,1183,0.491,31,182,0.4305555555555556,104,89,0.5148514851485149,4.530000000000001,123,0.036309538,1384,56,0.5769070446019174,3501,104,0.4772355507088331,136,153,0.5354330708661418,1827,565,0.6548387096774193,https://img.a.transfermarkt.technology/portrait/header/398073-1672304327.jpg?lm=1,Right-Back,65000000
Adam Aznou,938146,Morocco,DF,18,2006,Valladolid,ES1,0,1231,0,0,1207,0,0.3,1550,0.011070111,0.3,1547,0.0125,0.3,1493,0.021126761,16,1102,0.075117371,26,1397,0.071823204,4,1609,0.026315789,0.41,1607,0.018222222,1,1464,0.013333333,0.1,1473,0.004484122,0,1194,0,6,1297,0.063157895,4,1337,0.036036036,28,802,0.2276422764227642,48.8,1190,0.488,10,955,0.1388888888888889,16,1334,0.079207921,1.64,1237,0.013145175,231,1562,0.096290121,820,1306,0.1117775354416575,57,1029,0.2244094488188976,478,1682,0.1713261648745519,https://img.a.transfermarkt.technology/portrait/header/938146-1739807816.jpg?lm=1,Left-Back,3000000
Adam Hložek,552057,Czech Republic,"FW,MF",22,2002,Hoffenheim,DE1,8,132,0.2580645161290322,4,187,0.2222222222222222,5.6,208,0.2066420664206641,5.6,185,0.2333333333333333,3.5,262,0.2464788732394366,54,280,0.2535211267605634,68,712,0.1878453038674033,59,108,0.3881578947368421,2.8399999999999994,184,0.1262222222222222,24,92,0.32,1.15,142,0.051567405,0.14,391,0.14,20,540,0.2105263157894736,19,453,0.1711711711711711,22,1014,0.1788617886178861,55,862,0.55,4,1425,0.055555556,57,390,0.2821782178217821,2.74,617,0.021962061,429,1113,0.1788245102125885,1336,894,0.1821155943293348,66,879,0.2598425196850393,1502,820,0.5383512544802868,https://img.a.transfermarkt.technology/portrait/header/552057-1695368334.jpg?lm=1,Second Striker,18000000
Adam Lallana,43530,England,MF,36,1988,Southampton,GB1,0,1231,0,2,465,0.1111111111111111,0.2,1651,0.007380074,0.2,1648,0.008333333,0.9,1052,0.063380282,6,1569,0.028169014,24,1429,0.066298343,3,1683,0.019736842,0.75,1217,0.033333333,0,1706,0,0,1693,0,0,1194,0,4,1466,0.042105263,9,911,0.081081081,8,1606,0.06504065,16.7,1920,0.1669999999999999,5,1329,0.069444444,9,1620,0.044554455,2.24,866,0.017954385,178,1697,0.074197582,366,1736,0.049890949,19,1725,0.07480315,355,1791,0.1272401433691756,https://img.a.transfermarkt.technology/portrait/header/43530-1662663337.jpg?lm=1,Attacking Midfield,900000
Adam Maruši_,239802,Montenegro,DF,31,1992,Lazio,IT1,4,310,0.1290322580645161,0,1207,0,2,675,0.073800738,2,645,0.083333333,0.6,1261,0.042253521,23,840,0.107981221,84,533,0.2320441988950276,23,612,0.1513157894736842,0.89,1078,0.039555556,10,413,0.1333333333333333,0.39,805,0.017488076,0.17,283,0.17,13,847,0.1368421052631579,16,547,0.1441441441441441,32,681,0.2601626016260163,60,629,0.6,16,628,0.2222222222222222,33,848,0.1633663366336633,1.27,1461,0.010179495,683,621,0.2847019591496457,1263,947,0.172164667,83,642,0.326771654,1818,576,0.6516129032258065,https://img.a.transfermarkt.technology/portrait/header/239802-1692962856.jpg?lm=1,Right-Back,4000000
Adam Masina,286949,Morocco,DF,30,1994,Torino,IT1,1,812,0.032258065,2,465,0.1111111111111111,0.7,1242,0.025830258,0.7,1230,0.029166667,0.3,1493,0.021126761,15,1142,0.070422535,73,647,0.2016574585635359,8,1313,0.052631579,0.38,1650,0.016888889,2,1260,0.026666667,0.09,1511,0.00403571,0.13,470,0.13,4,1466,0.042105263,6,1147,0.054054054,33,653,0.2682926829268293,57.5,755,0.575,27,271,0.375,21,1175,0.1039603960396039,0.98,1632,0.007855044,853,365,0.3555648186744476,2121,449,0.2891221374045801,88,578,0.3464566929133858,1494,825,0.535483871,https://img.a.transfermarkt.technology/portrait/header/286949-1658130450.jpg?lm=1,Centre-Back,1500000
Adam Obert,568333,Slovakia,DF,21,2002,Cagliari,IT1,1,812,0.032258065,1,742,0.055555556,0.9,1100,0.033210332,0.9,1084,0.0375,0.4,1415,0.028169014,12,1277,0.056338028,50,967,0.1381215469613259,9,1251,0.059210526,0.75,1217,0.033333333,2,1260,0.026666667,0.17,1258,0.007623008,0.11,595,0.11,10,1010,0.1052631578947368,4,1337,0.036036036,31,707,0.2520325203252032,59.3,683,0.593,23,376,0.3194444444444444,25,1067,0.1237623762376237,2.09,957,0.016752083,298,1400,0.1242184243434764,797,1324,0.1086423118865867,59,996,0.2322834645669291,942,1260,0.3376344086021505,https://img.a.transfermarkt.technology/portrait/header/568333-1695033793.jpg?lm=1,Centre-Back,3000000
Adam Smith,61841,England,DF,33,1991,Bournemouth,GB1,0,1231,0,0,1207,0,0.7,1242,0.025830258,0.7,1230,0.029166667,0.4,1415,0.028169014,15,1142,0.070422535,49,984,0.1353591160220994,3,1683,0.019736842,0.17,1870,0.007555556,0,1706,0,0,1693,0,0,1194,0,8,1137,0.084210526,10,852,0.09009009,24,955,0.1951219512195122,51.9,978,0.519,15,673,0.2083333333333333,23,1127,0.1138613861386138,1.3,1442,0.010419956,366,1240,0.1525635681533972,711,1390,0.096919302,50,1142,0.1968503937007874,1150,1097,0.4121863799283154,https://img.a.transfermarkt.technology/portrait/header/61841-1737920848.jpg?lm=1,Right-Back,1000000
Adam Webster,212847,England,DF,29,1995,Brighton,GB1,0,1231,0,0,1207,0,0.2,1651,0.007380074,0.2,1648,0.008333333,0.5,1344,0.035211268,8,1464,0.037558685,63,779,0.1740331491712707,5,1514,0.032894737,0.51,1470,0.022666667,1,1464,0.013333333,0.1,1473,0.004484122,0,1194,0,3,1550,0.031578947,2,1568,0.018018018,10,1501,0.081300813,42.9,1380,0.429,20,483,0.2777777777777778,14,1422,0.069306931,1.42,1373,0.011381798,476,1017,0.1984160066694456,1475,800,0.2010632497273718,35,1429,0.1377952755905512,618,1555,0.221505376,https://img.a.transfermarkt.technology/portrait/header/212847-1681737411.jpg?lm=1,Centre-Back,12000000
Adam Wharton,744149,England,MF,20,2004,Crystal Palace,GB1,0,1231,0,2,465,0.1111111111111111,0.4,1458,0.014760148,0.4,1452,0.016666667,3,341,0.2112676056338028,14,1190,0.0657277,107,331,0.2955801104972376,13,1014,0.085526316,0.89,1078,0.039555556,5,790,0.066666667,0.34,868,0.015246015,0,1194,0,26,363,0.2736842105263158,18,488,0.1621621621621621,34,627,0.2764227642276423,38.6,1546,0.386,20,483,0.2777777777777778,59,367,0.292079208,4.03,193,0.032301863,430,1109,0.1792413505627344,1078,1091,0.1469465648854961,102,426,0.4015748031496063,1015,1207,0.3637992831541218,https://img.a.transfermarkt.technology/portrait/header/744149-1716297290.jpg?lm=1,Defensive Midfield,35000000
Adama Boiro,710671,Spain,"DF,FW",22,2002,Athletic Club,ES1,0,1231,0,0,1207,0,0.3,1550,0.011070111,0.3,1547,0.0125,0.5,1344,0.035211268,25,767,0.1173708920187793,46,1034,0.1270718232044199,5,1514,0.032894737,0.41,1607,0.018222222,0,1706,0,0,1693,0,0,1194,0,5,1375,0.052631579,8,980,0.072072072,20,1093,0.1626016260162601,66.7,349,0.667,12,840,0.1666666666666666,16,1334,0.079207921,1.3099999999999998,1440,0.010500109,288,1433,0.1200500208420175,890,1243,0.12131952,45,1237,0.1771653543307086,822,1379,0.2946236559139785,https://img.a.transfermarkt.technology/portrait/header/710671-1709677000.png?lm=1,Left-Back,2500000
Adama Traoré,204103,Spain,"FW,MF",28,1996,Fulham,GB1,2,564,0.064516129,7,55,0.3888888888888889,4,334,0.1476014760147601,4,297,0.1666666666666666,4.9,124,0.3450704225352113,100,71,0.4694835680751174,68,712,0.1878453038674033,39,288,0.2565789473684211,1.98,488,0.088,12,334,0.16,0.61,556,0.027353145,0.05,1062,0.05,42,135,0.4421052631578947,38,116,0.3423423423423423,20,1093,0.1626016260162601,38.5,1548,0.385,1,1767,0.013888889,82,176,0.4059405940594059,4.16,171,0.033343859,538,881,0.224260108,2486,316,0.338876772,87,596,0.3425196850393701,1482,832,0.5311827956989247,https://img.a.transfermarkt.technology/portrait/header/204103-1736153427.jpg?lm=1,Right Winger,10000000
Ademola Lookman,406040,Nigeria,"MF,FW",26,1997,Atalanta,IT1,15,27,0.4838709677419355,5,136,0.2777777777777778,10.3,62,0.3800738007380074,9.5,59,0.3958333333333333,7.1,39,0.5,142,11,0.6666666666666666,73,647,0.2016574585635359,81,35,0.5328947368421053,3.24,116,0.144,32,36,0.4266666666666667,1.28,104,0.057396763,0.17,283,0.17,61,28,0.6421052631578947,43,83,0.3873873873873873,32,681,0.2601626016260163,57.9,736,0.579,3,1528,0.041666667,135,15,0.6683168316831684,5.41,56,0.043363047,827,394,0.3447269695706544,3170,154,0.4321155943293348,69,834,0.2716535433070866,1791,594,0.6419354838709678,https://img.a.transfermarkt.technology/portrait/header/406040-1682076571.jpg?lm=1,Second Striker,60000000
Adnan Januzaj,177847,Belgium,"MF,FW",29,1995,Las Palmas,ES1,2,564,0.064516129,1,742,0.055555556,0.8,1167,0.029520295,0.8,1154,0.033333333,1.1,916,0.077464789,24,801,0.1126760563380281,41,1123,0.1132596685082873,16,879,0.1052631578947368,2.41,303,0.1071111111111111,5,790,0.066666667,0.75,412,0.033630916,0.13,470,0.13,17,651,0.1789473684210526,14,630,0.1261261261261261,10,1501,0.081300813,55.6,834,0.556,2,1621,0.027777778,37,751,0.1831683168316831,5.57,53,0.044645503,262,1489,0.1092121717382242,781,1336,0.1064612868047982,30,1525,0.1181102362204724,361,1776,0.1293906810035842,https://img.a.transfermarkt.technology/portrait/header/177847-1685115304.png?lm=1,Right Winger,1200000
Ado Onaiwu,308133,Japan,"MF,FW",28,1995,Auxerre,FR1,4,310,0.1290322580645161,1,742,0.055555556,4,334,0.1476014760147601,4,297,0.1666666666666666,1.1,916,0.077464789,17,1055,0.079812207,33,1285,0.091160221,23,612,0.1513157894736842,2.16,416,0.096,14,267,0.1866666666666666,1.32,90,0.059190412,0.17,283,0.17,10,1010,0.1052631578947368,9,911,0.081081081,11,1459,0.089430894,28.6,1784,0.286,3,1528,0.041666667,28,982,0.1386138613861386,2.63,663,0.021080372,268,1469,0.1117132138390996,687,1415,0.093647764,45,1237,0.1771653543307086,702,1488,0.2516129032258064,https://img.a.transfermarkt.technology/portrait/header/308133-1548926945.jpg?lm=1,Centre-Forward,1800000
Adri_ Altimira,466807,Spain,"DF,FW",23,2001,Leganés,ES1,0,1231,0,0,1207,0,0.3,1550,0.011070111,0.3,1547,0.0125,0.5,1344,0.035211268,23,840,0.107981221,42,1101,0.1160220994475138,7,1379,0.046052632,0.39,1641,0.017333333,2,1260,0.026666667,0.11,1452,0.004932534,0,1194,0,11,953,0.1157894736842105,10,852,0.09009009,41,449,0.3333333333333333,60,629,0.6,15,673,0.2083333333333333,21,1175,0.1039603960396039,1.16,1531,0.009297807,370,1227,0.1542309295539808,1049,1116,0.1429934569247546,71,803,0.2795275590551181,1086,1146,0.3892473118279569,https://img.a.transfermarkt.technology/portrait/header/466807-1704789678.jpg?lm=1,Right-Back,1500000
Adri_ Pedrosa,501418,Spain,DF,26,1998,Sevilla,ES1,1,812,0.032258065,1,742,0.055555556,0.9,1100,0.033210332,0.9,1084,0.0375,1.6,677,0.1126760563380281,41,446,0.1924882629107981,79,580,0.218232044,24,579,0.1578947368421052,0.9399999999999998,1044,0.041777778,7,605,0.093333333,0.27,1012,0.01210713,0.04,1122,0.04,20,540,0.2105263157894736,22,385,0.1981981981981982,56,182,0.4552845528455284,57.4,758,0.574,24,353,0.3333333333333333,47,564,0.2326732673267326,1.84,1110,0.014748245,617,721,0.2571904960400166,1832,589,0.2497273718647764,100,440,0.3937007874015748,1842,549,0.6602150537634408,https://img.a.transfermarkt.technology/portrait/header/501418-1583506190.jpg?lm=1,Left-Back,7000000
Adrian Beck,273669,Germany,"MF,FW",27,1997,Heidenheim,DE1,4,310,0.1290322580645161,1,742,0.055555556,3.3,419,0.1217712177121771,3.3,382,0.1374999999999999,1.2,865,0.084507042,37,500,0.1737089201877934,69,696,0.1906077348066298,39,288,0.2565789473684211,2.2,390,0.097777778,13,297,0.1733333333333333,0.73,433,0.032734092,0.1,675,0.1,21,513,0.2210526315789473,18,488,0.1621621621621621,36,572,0.2926829268292683,34.3,1652,0.3429999999999999,9,1021,0.125,56,405,0.2772277227722772,3.16,462,0.025328508,553,844,0.2305127136306794,1192,1005,0.1624863685932388,131,183,0.515748031,1112,1125,0.3985663082437276,https://img.a.transfermarkt.technology/portrait/header/273669-1721852328.jpg?lm=1,Attacking Midfield,2000000
