Player,Player_Id,Nation,Pos,Age,Born,Squad,Comp,Gls,Gls_rank,Gls_norm,Ast,Ast_rank,Ast_norm,xG,xG_rank,xG_norm,npxG,npxG_rank,npxG_norm,xAG,xAG_rank,xAG_norm,PrgC,PrgC_rank,PrgC_norm,PrgP,PrgP_rank,PrgP_norm,Sh,Sh_rank,Sh_norm,Sh/90,Sh/90_rank,Sh/90_norm,SoT,SoT_rank,SoT_norm,SoT/90,SoT/90_rank,SoT/90_norm,G/Sh,G/Sh_rank,G/Sh_norm,KP,KP_rank,KP_norm,PPA,PPA_rank,PPA_norm,Tkl,Tkl_rank,Tkl_norm,Tkl%,Tkl%_rank,Tkl%_norm,Int,Int_rank,Int_norm,SCA,SCA_rank,SCA_norm,SCA90,SCA90_rank,SCA90_norm,Carries,Carries_rank,Carries_norm,PrgDist_stats_possession,PrgDist_stats_possession_rank,PrgDist_stats_possession_norm,Recov,Recov_rank,Recov_norm,total_minutes,total_minutes_rank,total_minutes_norm,image_url,sub_position,market_value
Vasilije Adži_,944570,Montenegro,"MF,FW",18,2006,Juventus,IT1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,1,1984,0.002762431,1,1845,0.006578947,2.14,427,0.095111111,1,1464,0.013333333,2.14,22,0.095960214,0,1194,0,0,1952,0,1,1707,0.009009009,2,1888,0.016260163,0,1948,0,0,1925,0,2,1963,0.00990099,4.29,149,0.034385854,14,2153,0.005835765,10,2184,0.001363141,3,2094,0.011811024,24,2144,0.008602151,https://img.a.transfermarkt.technology/portrait/header/944570-1730123395.jpg?lm=1,Attacking Midfield,3000000
Vedat Muriqi,256267,Kosovo,FW,30,1994,Mallorca,ES1,7,162,0.2258064516129032,2,465,0.1111111111111111,9.7,78,0.3579335793357933,7.3,108,0.3041666666666666,2.2,495,0.1549295774647887,23,840,0.107981221,30,1328,0.082872928,52,160,0.3421052631578947,2.27,356,0.1008888888888888,16,221,0.2133333333333333,0.7,468,0.031388855,0.1,675,0.1,26,363,0.2736842105263158,6,1147,0.054054054,7,1655,0.056910569,42.9,1380,0.429,7,1162,0.097222222,45,600,0.2227722772277227,1.97,1027,0.015790241,334,1314,0.1392246769487286,476,1629,0.064885496,49,1162,0.1929133858267716,1750,627,0.6272401433691757,https://img.a.transfermarkt.technology/portrait/header/256267-1627914833.jpg?lm=1,Centre-Forward,8000000
Vicente Guaita,64399,Spain,GK,37,1987,Celta Vigo,ES1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,1,1984,0.002762431,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,3,1917,0.014851485,0.09,2063,0.000721382,538,881,0.224260108,1561,738,0.2127862595419847,75,734,0.2952755905511811,2340,165,0.8387096774193549,https://img.a.transfermarkt.technology/portrait/header/64399-1744193190.jpg?lm=1,Goalkeeper,800000
Victor Boniface,656681,Nigeria,FW,23,2000,Leverkusen,DE1,8,132,0.2580645161290322,1,742,0.055555556,7.8,123,0.2878228782287823,7.1,121,0.2958333333333333,1.1,916,0.077464789,26,737,0.1220657276995305,23,1446,0.063535912,50,175,0.3289473684210526,4.46,39,0.1982222222222222,17,194,0.2266666666666666,1.52,57,0.068158656,0.16,328,0.16,10,1010,0.1052631578947368,8,980,0.072072072,5,1746,0.040650407,75,177,0.75,0,1925,0,32,871,0.1584158415841584,2.86,568,0.022923903,207,1621,0.086285952,507,1602,0.069111232,28,1569,0.1102362204724409,994,1217,0.3562724014336917,https://img.a.transfermarkt.technology/portrait/header/656681-1727378262.jpg?lm=1,Centre-Forward,45000000
Victor Lindelöf,184573,Sweden,DF,30,1994,Manchester Utd,GB1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0.1,1698,0.007042254,5,1614,0.023474178,26,1397,0.071823204,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,3,1550,0.031578947,2,1568,0.018018018,7,1655,0.056910569,75,177,0.75,8,1092,0.1111111111111111,4,1854,0.01980198,0.51,1866,0.004087829,263,1485,0.1096290120883701,553,1552,0.075381679,29,1545,0.1141732283464567,272,1874,0.097491039,https://img.a.transfermarkt.technology/portrait/header/184573-1695244778.jpg?lm=1,Centre-Back,10000000
Victor Nelsson,422951,Denmark,DF,25,1998,Roma,IT1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,4,1885,0.011049724,1,1845,0.006578947,0.48,1509,0.021333333,0,1706,0,0,1693,0,0,1194,0,0,1952,0,0,1887,0,5,1746,0.040650407,60,629,0.6,2,1621,0.027777778,0,2099,0,0,2083,0,66,2012,0.027511463,149,1996,0.020310796,4,2068,0.015748031,185,1964,0.066308244,https://img.a.transfermarkt.technology/portrait/header/422951-1739281438.jpg?lm=1,Centre-Back,14000000
Victor Orakpo,1231401,Nigeria,FW,18,2006,Nice,FR1,0,1231,0,0,1207,0,0.3,1550,0.011070111,0.3,1547,0.0125,0,1854,0,2,1802,0.009389671,1,1984,0.002762431,2,1764,0.013157895,5,28,0.2222222222222222,0,1706,0,0,1693,0,0,1194,0,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,1,2021,0.004950495,2.5,722,0.020038377,14,2153,0.005835765,57,2106,0.007769902,3,2094,0.011811024,32,2131,0.011469534,https://img.a.transfermarkt.technology/portrait/header/1231401-1739972753.jpg?lm=1,Centre-Forward,500000
Viggo Gebel,1074526,Germany,MF,16,2007,RB Leipzig,DE1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,1,2021,0.004950495,6.430000000000001,26,0.051538704,5,2193,0.002084202,4,2206,0.000545256,0,2185,0,13,2159,0.004659498,https://img.a.transfermarkt.technology/portrait/header/1074526-1723447785.jpg?lm=1,Attacking Midfield,350000
Viktor Kovalenko,203842,Ukraine,MF,28,1996,Empoli,IT1,0,1231,0,0,1207,0,0.1,1756,0.003690037,0.1,1755,0.004166667,0,1854,0,1,1870,0.004694836,4,1885,0.011049724,3,1683,0.019736842,3.51,86,0.156,1,1464,0.013333333,1.17,138,0.052464229,0,1194,0,0,1952,0,0,1887,0,2,1888,0.016260163,0,1948,0,0,1925,0,0,2099,0,0,2083,0,21,2127,0.008753647,43,2129,0.005861505,3,2094,0.011811024,50,2112,0.017921147,https://img.a.transfermarkt.technology/portrait/header/203842-1637571103.jpg?lm=1,Attacking Midfield,1000000
Vincent Sierro,280387,Switzerland,MF,28,1995,Toulouse,FR1,5,246,0.1612903225806451,1,742,0.055555556,4.2,306,0.1549815498154981,2.7,476,0.1125,3.6,250,0.2535211267605634,15,1142,0.070422535,147,114,0.4060773480662983,30,430,0.1973684210526315,1.12,922,0.049777778,7,605,0.093333333,0.26,1025,0.011658718,0.1,675,0.1,30,274,0.3157894736842105,26,281,0.2342342342342342,44,394,0.3577235772357723,48.2,1209,0.482,16,628,0.2222222222222222,63,320,0.3118811881188119,2.36,791,0.018916227,914,287,0.3809920800333472,1633,703,0.2226008724100327,125,215,0.4921259842519685,1873,529,0.671326165,https://img.a.transfermarkt.technology/portrait/header/280387-1708555105.jpg?lm=1,Central Midfield,4000000
