Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
2306,Anass Salah-Eddine,nl NED,DF,Roma,it Serie A,22,2002,0,1,0.3,0.3,0.1,0.5,0.59,0.27,8,2,15,2,1.18,1,0.59,0,2,1,1,,1,4,2.37,61,283,6
2307,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,24,2000,0,0,0.7,0.7,0.3,1,0,0.25,12,9,28,9,2.17,3,0.72,0,5,2,3,0,1,8,1.93,81,252,11
2308,Jan Salas,es ESP,"MF,FW",Mallorca,es La Liga,18,2005,0,0,0.1,0.1,0,0.1,0,0.12,1,4,4,2,4.19,0,0,0,0,1,3,100,0,1,2.09,13,69,2
2309,Kike Salas,es ESP,DF,Sevilla,es La Liga,22,2002,3,2,1.9,1.9,0.6,2.5,0.2,0.1,7,59,18,23,0.92,6,0.24,0.13,6,3,47,58.7,32,17,0.68,717,1430,95
2310,Manolis Saliakas,gr GRE,"MF,DF",St. Pauli,de Bundesliga,27,1996,2,1,1.5,1.5,2.6,4.1,0.12,0.16,28,93,80,29,1.13,6,0.23,0.07,26,31,46,51,20,59,2.29,653,1293,84
2311,William Saliba,fr FRA,DF,Arsenal,eng Premier League,23,2001,2,0,2.3,2.3,0.9,3.1,0.06,0.09,16,138,6,6,0.18,2,0.06,0.33,7,6,62,75,21,27,0.8,1756,4154,154
2312,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,25,1999,1,0,0.8,0.8,0.1,0.8,0.09,0.07,8,68,3,8,0.7,4,0.35,0.13,3,2,28,81.3,16,14,1.23,545,1519,55
2313,Roland Sallai,hu HUN,"FW,MF",Freiburg,de Bundesliga,27,1997,0,0,0.1,0.1,0.1,0.2,0,0.41,4,3,2,3,5.87,1,1.96,0,1,0,2,,1,3,5.87,16,88,0
2314,Yoann Salmier,gf GUF,DF,Le Havre,fr Ligue 1,31,1992,0,0,0.8,0.8,0.2,1.1,0,0.12,7,24,1,5,0.56,2,0.23,0,2,1,14,76.9,10,3,0.34,205,630,22
2315,Lazar Samardzic,rs SRB,MF,Atalanta,it Serie A,22,2002,2,1,2,2,2.9,4.9,0.23,0.37,54,92,99,33,2.54,12,0.92,0.06,35,30,21,48,2,77,5.93,573,1652,50
2316,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,28,1996,0,0,0.1,0.1,0,0.1,0,0.02,3,11,2,3,0.93,1,0.31,0,0,2,5,50,5,4,1.24,92,112,18
2317,Mama Samba Baldé,gw GNB,FW,Lyon,fr Ligue 1,28,1995,0,0,0.1,0.1,0,0.1,0,0.31,1,1,2,1,2.73,0,0,0,0,0,2,,1,1,2.73,7,28,1
2318,Mama Samba Baldé,gw GNB,FW,Brest,fr Ligue 1,28,1995,2,3,3,3,2.1,5.1,0.39,0.4,35,22,100,29,2.27,8,0.63,0.07,16,5,13,21.4,6,42,3.29,257,851,37
2319,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,30,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,2,50,0,0,0,404,987,25
2320,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,,1,4,0.27,323,946,22
2321,Albert Sambi Lokonga,be BEL,MF,Sevilla,es La Liga,24,1999,0,2,0.9,0.9,1,1.9,0.12,0.12,24,93,20,13,0.8,5,0.31,0,19,8,22,71.4,9,35,2.14,533,1640,69
2322,Junior Sambia,fr FRA,"DF,FW",Empoli,it Serie A,27,1996,0,0,0.4,0.4,0.3,0.7,0,0.16,5,21,20,10,2.33,1,0.23,0,6,9,14,100,2,11,2.56,105,232,18
2323,Chuky san jose,es ESP,MF,Valladolid,es La Liga,20,2004,2,0,2.2,2.2,1.2,3.4,0.25,0.42,6,15,27,16,1.98,7,0.87,0.13,8,5,8,22.2,0,15,1.86,107,251,20
2324,Antonio Sanabria,py PAR,FW,Torino,it Serie A,28,1996,2,1,2.9,2.1,0.5,2.6,0.2,0.23,6,18,54,18,1.23,4,0.27,0.11,9,3,3,25,1,21,1.44,227,220,24
2325,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,24,2000,15,1,9.7,7.3,1.9,9.2,0.72,0.64,52,90,115,47,2.61,17,0.94,0.26,21,15,13,35.7,5,50,2.77,464,1662,77
2326,Alexis Sánchez,cl CHI,FW,Udinese,it Serie A,35,1988,0,0,0.8,0.8,0.2,1,0,0.2,2,19,19,7,1.44,0,0,0,3,5,3,14.3,4,18,3.71,121,145,17
2327,Antonio Sánchez,es ESP,"MF,DF",Mallorca,es La Liga,27,1997,0,0,1.1,1.1,0.6,1.7,0,0.11,18,38,53,17,1.1,2,0.13,0,5,8,28,38.9,18,18,1.16,367,780,77
2328,Iván Sánchez,es ESP,"MF,FW",Valladolid,es La Liga,31,1992,2,1,0.7,0.7,2.9,3.5,0.19,0.23,60,77,93,15,0.96,5,0.32,0.13,24,23,37,44.4,14,64,4.11,467,2016,59
2329,Javi Sánchez,es ESP,DF,Valladolid,es La Liga,27,1997,2,0,0.5,0.5,0.3,0.8,0.09,0.03,4,34,4,11,0.49,5,0.22,0.18,6,1,26,65.4,22,14,0.62,720,1625,57
2330,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,es La Liga,20,2003,4,4,2.1,2.1,2.8,5,0.42,0.26,44,68,83,13,0.68,6,0.31,0.31,24,14,50,59.3,17,40,2.09,427,1394,66
2331,Manu Sánchez,es ESP,DF,Alavés,es La Liga,23,2000,1,0,1.7,1.7,1.2,2.9,0.03,0.1,47,78,97,12,0.41,2,0.07,0.08,16,21,83,59.4,30,40,1.37,562,1592,105
2332,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26,1997,0,0,0,0,0.1,0.1,0,0,0,1,0,0,0,0,0,,2,1,0,0,2,7,0.22,881,2852,43
2333,Jadon Sancho,eng ENG,FW,Chelsea,eng Premier League,24,2000,3,4,2.2,2.2,3.7,5.8,0.36,0.3,102,90,225,24,1.22,8,0.41,0.13,38,48,13,41.7,2,70,3.57,653,2435,99
2334,Philipp Sander,de GER,MF,Gladbach,de Bundesliga,26,1998,1,0,1.2,1.2,0.6,1.8,0.06,0.12,16,60,29,18,1.16,7,0.45,0.06,13,7,33,43.5,23,28,1.8,473,1024,82
2335,James Sands,us USA,"MF,DF",St. Pauli,de Bundesliga,24,2000,0,0,0.1,0.1,0,0.1,0,0.01,0,16,6,1,0.2,0,0,0,1,3,15,100,5,7,1.39,119,146,21
2336,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,28,1996,11,5,10.2,10.2,5.5,15.8,0.88,0.87,75,64,266,67,3.68,29,1.59,0.16,36,35,23,52.2,7,76,4.18,787,2266,82
2337,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,22,2002,3,0,1,1,0.1,1.1,0.22,0.08,11,48,3,7,0.51,4,0.29,0.43,3,3,25,58.8,21,12,0.87,546,1424,53
2338,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,26,1997,0,1,0,0,0.4,0.4,0.15,0.06,1,27,4,1,0.15,1,0.15,0,4,4,28,47.1,6,8,1.22,171,283,42
2339,Nhoa Sangui,fr FRA,"DF,MF",Reims,fr Ligue 1,18,2006,0,2,0.1,0.1,0.5,0.6,0.16,0.05,21,45,53,3,0.23,0,0,0,5,4,16,75,8,18,1.4,362,1092,64
2340,Maroan Sannadi,es ESP,FW,Athletic Club,es La Liga,23,2001,1,1,3.5,3.5,0.6,4.1,0.24,0.48,21,15,67,19,2.27,7,0.84,0.05,7,8,5,28.6,1,16,1.91,198,512,24
2341,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,23,2000,0,0,0.9,0.9,1.2,2.1,0,0.06,53,159,46,20,0.59,2,0.06,0,19,19,61,48.1,65,62,1.83,894,2250,190
2342,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,29,1994,3,0,1.5,1.5,0.1,1.6,1.15,0.6,5,13,17,9,3.45,4,1.53,0.33,1,3,6,33.3,4,6,2.29,89,165,10
2343,Nicola Sansone,it ITA,"MF,FW",Lecce,it Serie A,32,1991,0,0,0.2,0.2,0,0.3,0,0.36,0,1,5,3,4.15,1,1.38,0,1,0,0,,0,5,6.92,20,7,1
2344,Baptiste Santamaria,fr FRA,MF,Nice,fr Ligue 1,29,1995,0,0,0.9,0.9,1,1.9,0,0.18,10,45,11,16,1.55,3,0.29,0,9,4,20,59.1,18,21,2.04,277,647,49
2345,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,29,1995,0,1,0.1,0.1,0.3,0.4,0.19,0.07,3,28,9,4,0.75,1,0.19,0,4,4,11,54.5,12,10,1.87,198,216,34
2346,Jesús Santiago,es ESP,MF,Getafe,es La Liga,20,2004,0,0,0,0,0,0,0,0.01,4,16,4,1,0.24,0,0,0,0,0,14,50,1,6,1.45,97,239,21
2347,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20,2004,10,3,5.1,5.1,3.3,8.4,0.41,0.27,29,149,26,46,1.45,16,0.5,0.22,27,15,110,58.6,32,56,1.77,1015,2383,188
