Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,,0,0,2,100,1,2,2.09,41,68,7
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,0,0,0,0,0,0,0,0.02,0,6,10,0,0,0,0,,1,0,4,80,0,1,0.75,46,103,7
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0,0,0.1,0.1,0,0.1,0,0.1,3,2,3,1,1.38,0,0,0,0,0,3,100,1,0,0,13,67,2
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,0,0,0.1,0.1,0,0.1,0,0.06,3,4,1,1,1.02,0,0,0,0,0,4,66.7,1,1,1.02,29,165,7
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,100,0,0,0,1,9,0
6,Yunis Abdelhamid,ma MAR,DF,Saint-_tienne,fr Ligue 1,36,1987,0,0,0.2,0.2,0.1,0.4,0,0.03,4,22,3,2,0.17,1,0.09,0,2,0,17,62.5,14,6,0.55,322,837,42
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,6,1,6.4,3.2,3.2,6.4,0.13,0.3,107,207,111,35,1.11,8,0.25,0.09,39,38,48,31.3,26,94,2.98,1183,4388,193
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,0,0,0,0,0,0,0,0,6,52,5,0,0,0,0,,0,1,21,59.1,15,8,0.84,342,822,50
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,5,2,4.3,4.3,1.9,6.2,0.45,0.4,35,42,101,29,1.87,11,0.71,0.17,20,21,43,65.1,20,45,2.91,391,1003,72
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,0,1,0,0,0.2,0.2,0.44,0.09,6,9,26,1,0.44,0,0,0,2,4,3,100,2,6,2.65,90,175,3
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,2,0,0.5,0.5,1,1.6,0.09,0.07,50,77,92,12,0.52,4,0.17,0.17,16,18,61,61.9,18,39,1.69,605,1792,106
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,0,0,0,0,0,0.1,0,0.02,2,6,2,2,0.68,0,0,0,1,2,6,100,0,3,1.03,34,74,8
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,9,2,8.5,7.7,3.8,11.5,0.33,0.4,75,48,169,73,2.37,26,0.85,0.11,27,15,11,33.3,4,61,1.98,587,1743,83
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,1,1,0.6,0.6,1.1,1.7,0.17,0.14,31,66,55,7,0.58,3,0.25,0.14,11,11,29,65.6,5,25,2.06,426,1239,45
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,7,2,10.2,8.6,1.6,10.2,0.38,0.56,34,22,164,62,2.94,26,1.23,0.1,12,10,22,17.4,6,34,1.61,375,880,61
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,0,1,0.9,0.9,0.3,1.2,0.04,0.04,16,79,4,12,0.44,1,0.04,0,8,10,36,58.8,39,25,0.91,632,2013,87
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,0,0,0,0,3,1,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,3,4,7.1,5.4,2.2,7.6,0.46,0.7,8,26,69,26,1.98,11,0.84,0.08,14,10,17,75,2,33,2.51,158,205,12
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,5,18,1
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,0,1,0.4,0.4,0.6,1,0.05,0.05,19,62,22,5,0.26,1,0.05,0,9,8,23,64.7,26,20,1.05,915,2128,62
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,0,0,0.2,0.2,0,0.2,0,0.12,0,8,0,2,1.06,0,0,0,0,0,2,100,1,2,1.06,106,409,7
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,0,0,0.4,0.4,0,0.4,0,0.29,0,5,5,2,1.34,1,0.67,0,0,1,0,,0,0,0,5,0,4
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,3,1,4.3,4.3,1,5.3,0.33,0.44,11,6,45,26,2.18,12,1,0.12,12,0,4,75,1,25,2.09,126,279,24
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,9,3,9,8.2,2,10.2,0.41,0.37,23,40,153,63,2.14,25,0.85,0.14,26,7,12,14.3,2,63,2.14,509,702,50
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,0,3,1.6,1.6,1,2.6,0.14,0.12,14,76,10,9,0.41,2,0.09,0,18,4,83,54.2,32,41,1.88,663,1447,114
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,2,2,5.5,5.5,2.4,7.9,0.23,0.46,8,14,84,36,2.1,11,0.64,0.06,17,8,9,27.3,12,29,1.69,275,349,52
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,1,1,0.9,0.9,0.2,1.2,0.13,0.07,5,42,1,13,0.83,2,0.13,0.08,1,1,17,66.7,11,15,0.96,777,1809,41
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,1,50,0,0,0,6,9,0
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,7,6,5.5,5.5,6,11.5,0.82,0.72,68,28,153,46,2.89,18,1.13,0.15,28,19,20,40,7,57,3.58,417,1543,48
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,2,2,2.5,2.5,2.5,4.9,0.33,0.4,50,18,136,33,2.71,8,0.66,0.06,16,17,23,38.5,8,47,3.86,366,1300,47
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,2,0,2.7,2.7,0.7,3.4,0.23,0.4,37,24,100,20,2.35,7,0.82,0.1,11,15,15,36.4,0,29,3.41,248,838,30
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,4,6,1,1,2.4,3.4,0.73,0.25,24,103,30,14,1.02,5,0.36,0.29,23,16,32,43.6,6,50,3.64,618,1680,77
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,390,1161,20
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,1,0,0,1,0,0
36,Vasilije Adži_,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0,0,0,0,0,0,0,0.05,0,1,3,1,2.14,1,2.14,0,0,1,2,0,0,2,4.29,14,10,3
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,0,0,0.4,0.4,0.4,0.8,0,0.09,8,33,17,10,1.24,5,0.62,0,8,5,18,71.4,7,18,2.23,291,508,35
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,3,1,3.1,3.1,3.8,7,0.22,0.38,53,32,108,38,2.09,13,0.71,0.08,21,14,17,36.8,8,52,2.86,495,1392,72
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,1,0,0.8,0.8,0.2,1.1,0.06,0.07,6,31,2,7,0.45,2,0.13,0.14,4,1,30,65,12,17,1.09,758,1752,83
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,0,0,0.5,0.5,0.3,0.8,0,0.06,10,77,0,15,1.07,3,0.21,0,8,4,25,73.1,19,21,1.5,621,1974,85
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0,0,0,0,0,0.1,0,0.79,2,0,1,1,15,0,0,0,1,0,2,,0,1,15,5,23,0
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,1,0,0.7,0.7,0.2,0.9,0.3,0.26,13,6,36,6,1.8,4,1.2,0.17,3,4,7,42.9,1,8,2.4,84,283,9
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0.22,237,682,21
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,1,3,0.9,0.9,2.5,3.3,0.17,0.14,29,135,23,10,0.43,2,0.09,0.1,27,19,70,69.2,41,60,2.55,689,1597,136
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,3,0,1.4,1.4,1.8,3.2,0.15,0.17,33,43,105,9,0.46,4,0.21,0.33,20,22,30,52.2,21,35,1.8,545,1278,67
46,_lvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,0,1,0.6,0.6,0.6,1.2,0.2,0.24,15,37,4,10,2.03,1,0.2,0,4,8,5,33.3,4,16,3.25,175,753,37
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,0,0,2.4,2.4,0.1,2.5,0,0.13,26,75,1,15,0.77,5,0.26,0,5,3,30,66.7,13,16,0.82,1019,3798,73
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,1,2,0.8,0.8,1.9,2.7,0.24,0.21,32,74,101,11,0.88,3,0.24,0.09,11,21,34,61.5,13,26,2.08,518,1309,79
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,0,0,0,0,0,0,0,0.03,2,1,1,1,1.55,0,0,0,0,0,0,,2,2,3.1,16,55,7
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,0,0,0.5,0.5,0.1,0.6,0,0.21,3,3,7,3,1,1,0.33,0,2,0,7,70,1,5,1.67,52,119,14
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,,0,0,0,,1,0,0,12,26,0
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,2,0,1.8,1.8,1,2.8,0.09,0.13,15,68,16,27,1.24,7,0.32,0.07,10,7,56,45.8,33,33,1.52,495,987,100
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,0,0,0,0,0,0,0,0.01,1,14,0,1,0.15,0,0,0,0,2,5,66.7,5,1,0.15,259,678,25
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,,0,0,0,7,8,1
56,Ayman Aiki,fr FRA,"FW,MF",Saint-_tienne,fr Ligue 1,19,2005,0,0,0.1,0.1,0,0.1,0,0.09,4,5,8,3,2.13,1,0.71,0,1,1,3,100,1,1,0.71,33,95,7
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,2,1,0.6,0.6,1.4,2.1,0.09,0.06,67,107,67,11,0.33,2,0.06,0.18,16,23,55,56.3,33,62,1.86,749,2787,190
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,4,7,2.7,2.7,5.5,8.2,0.32,0.24,89,108,176,36,1.04,10,0.29,0.11,46,30,89,61.4,26,91,2.63,1129,3205,145
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,5,7,1
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,0,0,1,1,1.2,2.2,0,0.14,27,56,44,9,0.56,3,0.19,0,8,7,26,51.9,12,18,1.13,387,1180,42
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,13,2,10.4,9.6,3.1,12.7,0.54,0.49,10,41,124,53,1.91,25,0.9,0.25,35,11,26,31.3,6,60,2.17,410,449,62
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,0,0,1.6,1.6,0.4,1.9,0,0.09,46,158,7,15,0.67,2,0.09,0,9,11,19,64.7,9,37,1.65,1254,4234,103
63,_mit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,0,0,0.1,0.1,0.1,0.1,0,0.03,4,29,9,2,0.36,0,0,0,2,1,8,41.7,11,5,0.9,217,452,24
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,0,0,0.2,0.2,0,0.2,0,0.03,12,50,2,3,0.4,0,0,0,1,1,9,66.7,3,8,1.06,403,1501,24
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,1,0,0.6,0.6,1,1.6,0.15,0.23,30,12,64,17,2.62,6,0.92,0.06,9,8,12,50,3,29,4.38,200,759,30
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,2,3,1.5,1.5,2.5,4,0.18,0.14,55,86,97,26,0.93,7,0.25,0.08,21,20,34,61.1,17,37,1.32,710,2357,109
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,5,10,9.2,8.4,7.3,15.7,0.52,0.62,127,173,226,61,2.28,17,0.64,0.07,49,64,51,46.3,15,119,4.45,999,3653,131
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,,1,0,0,14,10,0
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,0,1,0.3,0.3,0.9,1.2,0.04,0.04,27,74,24,6,0.22,1,0.04,0,8,10,55,67.4,42,22,0.8,895,2340,116
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,0,0,0.3,0.3,0.2,0.6,0,0.05,21,19,22,4,0.37,2,0.19,0,3,2,30,42.9,13,12,1.12,306,818,54
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,,0,1,0,0,0,1,2,6,8,0
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,0,0,0.1,0.1,0.3,0.4,0,0.02,14,98,16,5,0.2,1,0.04,0,7,10,54,65.2,29,27,1.09,892,1772,107
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,3,1,5,3.4,0.5,3.9,0.42,0.78,6,7,38,18,2.54,9,1.27,0.11,5,4,8,33.3,0,17,2.39,80,192,11
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,0,0,0,0,0.1,0.1,0,0.02,2,7,4,0,0,0,0,,1,1,1,,6,2,0.57,180,482,8
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,0,0,0,0,0,0,0,0.01,2,5,1,1,0.56,0,0,0,0,0,12,66.7,1,0,0,54,130,13
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,1,0,0.6,0.6,0.1,0.7,1.45,1.04,1,3,6,3,4.35,1,1.45,0.33,2,0,1,0,0,2,2.95,24,18,3
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,0,0,0.1,0.1,0,0.1,0,0.01,3,34,0,2,0.15,0,0,0,0,1,10,60,6,5,0.38,514,1226,44
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0,0,0.1,0.1,0.1,0.2,0,1.48,4,6,1,1,9,1,9,0,1,1,0,,1,1,9,12,98,2
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,2,3,1.7,1.7,1.6,3.4,0.59,0.4,19,42,21,26,3.06,11,1.3,0.08,13,18,11,27.3,5,33,3.89,211,707,37
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,1,0,1.7,1.7,0.9,2.6,0.03,0.08,25,112,7,38,1.15,10,0.3,0.03,11,15,43,66.7,40,37,1.12,633,2546,115
81,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,0,0,0.9,0.9,0.1,1,0,0.2,3,12,10,5,1,1,0.2,0,3,3,6,30.8,0,8,1.6,88,169,12
82,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,0,2,0.7,0.7,1.3,2,0.17,0.17,18,58,43,15,1.24,4,0.33,0,19,14,19,41.2,2,44,3.64,330,671,47
83,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,,1,0,0,,0,1,0.99,33,120,0
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,3,6,1.9,1.9,7.3,9.2,0.34,0.35,51,232,94,45,1.71,8,0.3,0.07,52,65,72,46.7,31,98,3.73,1183,2860,132
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,5,2,4.6,4.6,2.6,7.2,0.46,0.47,89,22,170,46,3.02,19,1.25,0.11,24,7,8,33.3,5,59,3.87,374,1693,37
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,3,4,4,4,4,7.9,0.39,0.44,81,59,133,36,2,15,0.83,0.08,30,36,13,33.3,5,59,3.28,460,1943,69
87,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,0,0,0,0,0,0,0,0.03,1,1,2,1,1.27,0,0,0,1,1,0,,1,2,2.54,17,44,0
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,0,0,0,0,0.6,0.6,0,0.02,0,1,0,0,0,0,0,,1,0,1,0,0,7,0.25,658,1586,47
89,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,3,4,1
90,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,1,3,4.2,4.2,2.5,6.7,0.21,0.35,57,48,99,35,1.8,10,0.51,0.03,15,13,19,17.9,12,39,2,435,1395,88
91,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,,0,0,0,3,4,0
92,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,1,4,2,2,2.6,4.6,0.47,0.44,38,97,50,23,2.18,5,0.47,0.04,22,20,14,33.3,7,52,4.92,568,1483,56
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,0,4,1.2,1.2,3.2,4.4,0.18,0.2,45,142,77,18,0.82,5,0.23,0,43,24,48,35.9,8,86,3.92,676,1810,89
94,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,0,1,0,0,0.7,0.7,1.87,1.33,6,2,10,1,1.87,0,0,0,2,0,0,0,0,3,5.63,32,152,2
95,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,0,0,0.5,0.5,0.3,0.8,0,0.45,3,6,18,6,3.44,2,1.15,0,3,1,3,66.7,0,8,4.59,54,93,4
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,1,1,2.1,2.1,1.3,3.5,0.16,0.28,42,12,85,26,2.1,9,0.73,0.04,10,4,17,47.1,19,26,2.1,298,1059,40
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,3,0,4,1.6,1.3,2.9,0,0.18,64,215,49,31,1.05,10,0.34,0,21,21,35,56.8,34,46,1.56,1733,6481,176
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,0,0,0.2,0.2,0.1,0.3,0,0.04,4,20,5,3,0.36,1,0.12,0,1,2,13,53.3,17,5,0.6,235,404,27
99,Adri_ Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,0,0,0.3,0.3,0.5,0.8,0,0.04,23,42,69,7,0.39,2,0.11,0,11,10,41,60,15,21,1.16,370,1049,71
100,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,0,1,1.7,1.6,1.7,3.3,0.05,0.16,25,99,30,21,0.96,4,0.18,0,22,13,61,60,24,52,2.37,908,1635,117
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,100,0,0,0,2,0,0
102,Edson _lvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,0,1,0.4,0.4,0.8,1.2,0.05,0.06,24,85,18,12,0.61,1,0.05,0,12,12,50,48.6,18,28,1.42,687,1714,88
103,Hugo _lvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,4,3,2.5,2.5,1.1,3.6,0.4,0.21,74,60,171,25,1.43,9,0.52,0.16,17,15,26,52.6,8,46,2.63,726,2266,78
104,Julián _lvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,17,4,14.1,11,5.3,16.3,0.61,0.7,79,92,162,70,2.51,36,1.29,0.19,41,38,25,26.7,2,108,3.87,776,2198,75
105,Yeray _lvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,1,0,0.5,0.5,0.2,0.7,0.05,0.04,19,105,0,9,0.45,2,0.1,0.11,4,3,25,68.2,34,18,0.91,792,3165,83
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,0,0,0,0,0,0,0,0.01,1,8,0,1,0.38,0,0,0,0,3,11,80,2,2,0.76,70,132,13
107,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,,0,0,0,1,5,0
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,3,1,3.5,2.7,1.1,3.8,0.2,0.3,24,57,27,21,1.37,7,0.46,0.1,13,11,30,55.6,14,32,2.09,308,836,73
109,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,0,0,0.1,0.1,0,0.1,0,0.02,9,7,23,3,0.78,0,0,0,1,0,6,25,2,8,2.08,132,376,26
110,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,0,1,0.4,0.4,0.5,0.9,0.24,0.21,10,12,29,5,1.2,1,0.24,0,6,4,2,12.5,2,13,3.11,103,318,13
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,0,0,0.3,0.3,0.2,0.4,0,0.05,22,36,21,8,0.91,3,0.34,0,6,6,24,71.4,7,14,1.59,309,936,35
112,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,0,0,0,0,0.3,0.3,0,0.23,1,2,1,0,0,0,0,,1,0,1,,2,2,1.86,46,72,2
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,1,0,1,1,0.8,1.8,0.04,0.08,32,73,77,7,0.29,4,0.17,0.14,13,24,55,82.9,13,38,1.58,544,1208,54
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,1,3,1.5,1.5,3.3,4.8,0.15,0.18,43,140,100,13,0.48,4,0.15,0.08,24,19,49,69.6,18,47,1.74,1169,2430,138
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,7,5,5.5,3.9,6.6,10.5,0.36,0.44,50,204,64,60,2.18,24,0.87,0.08,63,57,50,41.3,16,119,4.33,1134,2578,207
116,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,0,0,0,0,0.1,0.1,0,0.29,1,0,3,1,3.21,0,0,0,1,1,1,100,0,2,6.43,11,68,1
117,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,2,0,0.7,0.7,0.6,1.3,0.56,0.35,11,12,18,9,2.53,7,1.97,0.22,5,5,5,22.2,3,14,3.93,94,300,14
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,7,5,2
119,Mathis Amougou,fr FRA,MF,Saint-_tienne,fr Ligue 1,18,2006,0,0,0.5,0.5,0.4,0.8,0,0.09,8,36,17,7,0.73,1,0.1,0,7,4,21,52.6,12,17,1.78,242,585,37
120,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,10,9,8.7,7.2,4,11.2,0.62,0.46,81,61,244,73,2.66,25,0.91,0.11,35,26,29,37.8,9,80,2.92,628,2067,92
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,0,0,0,0,0.1,0.1,0,0.03,2,14,1,0,0,0,0,,2,0,3,100,0,4,2,84,196,7
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,0,0,0,0,0,0,0,0.04,1,4,1,1,1,1,1,0,0,1,1,50,0,1,1,49,103,7
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,0,0,1,1,0.5,1.5,0,0.05,16,112,2,19,0.66,4,0.14,0,4,6,27,62.5,34,35,1.23,1350,3435,122
124,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,2,6,2.1,2.1,3.3,5.4,0.26,0.18,52,143,94,40,1.32,7,0.23,0.05,37,19,92,43.2,31,87,2.87,932,2366,207
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,0,0,0.4,0.4,0.8,1.3,0,0.05,10,109,11,10,0.36,1,0.04,0,18,5,91,58.7,37,49,1.78,912,1688,194
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,0,3,1.4,1.4,1.9,3.3,0.1,0.11,29,209,72,16,0.53,4,0.13,0,21,18,103,56.3,48,53,1.77,1153,2593,189
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,1,2,2.7,2.7,0.8,3.5,0.23,0.27,11,16,39,22,1.67,2,0.15,0.05,9,3,10,38.5,3,19,1.44,195,345,44
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,2,2,1.3,1.3,0.3,1.6,0.23,0.09,8,65,17,21,1.18,5,0.28,0.1,9,8,24,50,29,33,1.86,526,886,73
129,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,2,1,1.4,1.4,3.7,5.1,0.08,0.15,66,172,172,24,0.68,6,0.17,0.08,50,58,46,50,28,89,2.52,1202,3048,101
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,3,3,0
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,2,3,0.9,0.9,1.7,2.5,0.4,0.21,28,55,35,23,1.86,7,0.57,0.09,17,13,29,50,13,32,2.59,327,1043,65
